studio,course,attendance list,current_date,class_date,is_holiday,is_holiday_week,maxnr,waiting list,warteliste_length
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_044""]",2025-12-30 11:00:00,2026-01-06,false,false,12.0,"[""cb_member_071""]",1
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_044""]",2026-01-03 11:00:00,2026-01-06,false,false,12.0,"[""cb_member_071""]",1
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_038"",""cb_member_049"",""cb_member_044""]",2026-01-04 11:00:00,2026-01-06,false,false,12.0,"[""cb_member_071""]",1
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_038"",""cb_member_049"",""cb_member_009"",""cb_member_044"",""cb_member_059""]",2026-01-05 11:00:00,2026-01-06,false,false,12.0,"[""cb_member_050""]",1
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_038"",""cb_member_049"",""cb_member_009"",""cb_member_016""]",2026-01-05 23:00:00,2026-01-06,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_038"",""cb_member_049"",""cb_member_009"",""cb_member_016"",""cb_member_002""]",2026-01-06 05:00:00,2026-01-06,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_038"",""cb_member_049"",""cb_member_009"",""cb_member_016"",""cb_member_002"",""cb_member_065""]",2026-01-06 11:00:00,2026-01-06,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_059"",""cb_member_050"",""cb_member_048"",""cb_member_064"",""cb_member_012"",""cb_member_038"",""cb_member_049"",""cb_member_009"",""cb_member_016"",""cb_member_002"",""cb_member_065""]",2026-01-06 13:00:00,2026-01-06,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_043"",""cb_member_067"",""cb_member_004"",""cb_member_061"",""cb_member_069""]",2026-01-06 11:00:00,2026-01-13,false,false,12.0,"[""cb_member_079""]",1
Cb,Di 11:00,"[""cb_member_043"",""cb_member_067"",""cb_member_004"",""cb_member_061"",""cb_member_015"",""cb_member_023"",""cb_member_069""]",2026-01-09 11:00:00,2026-01-13,false,false,12.0,,1
Cb,Di 11:00,"[""cb_member_043"",""cb_member_067"",""cb_member_004"",""cb_member_061"",""cb_member_015"",""cb_member_023"",""cb_member_025"",""cb_member_012"",""cb_member_069""]",2026-01-10 11:00:00,2026-01-13,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_043"",""cb_member_067"",""cb_member_004"",""cb_member_061"",""cb_member_015"",""cb_member_023"",""cb_member_025"",""cb_member_012"",""cb_member_021""]",2026-01-12 11:00:00,2026-01-13,false,false,12.0,"[""cb_member_032""]",1
Cb,Di 11:00,"[""cb_member_043"",""cb_member_067"",""cb_member_004"",""cb_member_061"",""cb_member_015"",""cb_member_023"",""cb_member_025"",""cb_member_012"",""cb_member_021"",""cb_member_035"",""cb_member_008""]",2026-01-12 23:00:00,2026-01-13,false,false,12.0,"[""cb_member_032""]",1
Cb,Di 11:00,"[""cb_member_043"",""cb_member_067"",""cb_member_004"",""cb_member_061"",""cb_member_015"",""cb_member_023"",""cb_member_025"",""cb_member_012"",""cb_member_021"",""cb_member_035"",""cb_member_008"",""cb_member_005""]",2026-01-13 05:00:00,2026-01-13,false,false,12.0,"[""cb_member_032"",""cb_member_018""]",2
Cb,Di 11:00,"[""cb_member_022"",""cb_member_035"",""cb_member_051"",""cb_member_048"",""cb_member_036""]",2026-01-16 11:00:00,2026-01-20,false,false,12.0,"[""cb_member_041""]",1
Cb,Di 11:00,"[""cb_member_022"",""cb_member_035"",""cb_member_051"",""cb_member_048"",""cb_member_053"",""cb_member_069"",""cb_member_036""]",2026-01-17 11:00:00,2026-01-20,false,false,12.0,"[""cb_member_041""]",1
Cb,Di 11:00,"[""cb_member_022"",""cb_member_035"",""cb_member_051"",""cb_member_048"",""cb_member_053"",""cb_member_069"",""cb_member_080"",""cb_member_003""]",2026-01-18 11:00:00,2026-01-20,false,false,12.0,"[""cb_member_005""]",1
Cb,Di 11:00,"[""cb_member_022"",""cb_member_035"",""cb_member_051"",""cb_member_048"",""cb_member_053"",""cb_member_069"",""cb_member_080"",""cb_member_003"",""cb_member_056"",""cb_member_001""]",2026-01-19 11:00:00,2026-01-20,false,,12.0,"[""cb_member_005"",""cb_member_004""]",2
Cb,Di 11:00,"[""cb_member_022"",""cb_member_035"",""cb_member_051"",""cb_member_048"",""cb_member_053"",""cb_member_069"",""cb_member_080"",""cb_member_003"",""cb_member_056"",""cb_member_001"",""cb_member_070"",""cb_member_030""]",2026-01-19 23:00:00,2026-01-20,false,false,12.0,"[""cb_member_005"",""cb_member_004"",""cb_member_050""]",3
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_066""]",2026-01-20 11:00:00,2026-01-27,false,false,12.0,"[""cb_member_017""]",1
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_015"",""cb_member_030"",""cb_member_066""]",2026-01-21 23:00:00,2026-01-27,false,false,12.0,"[""cb_member_017""]",1
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_015"",""cb_member_030"",""cb_member_035"",""cb_member_066""]",2026-01-23 11:00:00,2026-01-27,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_015"",""cb_member_030"",""cb_member_035"",""cb_member_002""]",2026-01-24 11:00:00,2026-01-27,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_015"",""cb_member_030"",""cb_member_035"",""cb_member_002"",""cb_member_005"",""cb_member_040""]",2026-01-26 11:00:00,2026-01-27,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_015"",""cb_member_030"",""cb_member_035"",""cb_member_002"",""cb_member_005"",""cb_member_040"",""cb_member_022""]",2026-01-26 23:00:00,2026-01-27,false,false,,"[""cb_member_069""]",1
Cb,Di 11:00,"[""cb_member_068"",""cb_member_056"",""cb_member_027"",""cb_member_006"",""cb_member_015"",""cb_member_030"",""cb_member_035"",""cb_member_002"",""cb_member_005"",""cb_member_040"",""cb_member_022"",""cb_member_011""]",2026-01-27 05:00:00,2026-01-27,false,false,12.0,"[""cb_member_069""]",1
Cb,Di 11:00,"[""cb_member_048"",""cb_member_044"",""cb_member_074""]",2026-01-27 11:00:00,2026-02-03,false,false,12.0,"[""cb_member_007""]",1
Cb,Di 11:00,"[""cb_member_048"",""cb_member_044"",""cb_member_046"",""cb_member_016"",""cb_member_074""]",2026-01-28 23:00:00,2026-02-03,false,false,12.0,"[""cb_member_007""]",1
Cb,Di 11:00,"[""cb_member_048"",""cb_member_044"",""cb_member_046"",""cb_member_016"",""cb_member_041""]",2026-02-01 11:00:00,2026-02-03,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_048"",""cb_member_044"",""cb_member_046"",""cb_member_016"",""cb_member_041"",""cb_member_036""]",2026-02-02 23:00:00,2026-02-03,false,false,12.0,"[""cb_member_030""]",1
Cb,Di 11:00,"[""cb_member_048"",""cb_member_044"",""cb_member_046"",""cb_member_016"",""cb_member_041"",""cb_member_036"",""cb_member_079""]",2026-02-03 05:00:00,2026-02-03,false,false,12.0,"[""cb_member_030""]",1
Cb,Di 11:00,"[""cb_member_039"",""cb_member_051"",""cb_member_024"",""cb_member_056"",""cb_member_062""]",2026-02-04 23:00:00,2026-02-10,false,false,12.0,"[""cb_member_042""]",1
Cb,Di 11:00,"[""cb_member_039"",""cb_member_051"",""cb_member_024"",""cb_member_056"",""cb_member_071"",""cb_member_074"",""cb_member_062""]",2026-02-06 11:00:00,2026-02-10,false,false,12.0,"[""cb_member_042""]",1
Cb,Di 11:00,"[""cb_member_039"",""cb_member_051"",""cb_member_024"",""cb_member_056"",""cb_member_071"",""cb_member_074"",""cb_member_020"",""cb_member_006""]",2026-02-07 11:00:00,2026-02-10,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_039"",""cb_member_051"",""cb_member_024"",""cb_member_056"",""cb_member_071"",""cb_member_074"",""cb_member_020"",""cb_member_006"",""cb_member_025"",""cb_member_055""]",2026-02-09 23:00:00,2026-02-10,false,false,12.0,"[""cb_member_009""]",1
Cb,Di 11:00,"[""cb_member_039"",""cb_member_051"",""cb_member_024"",""cb_member_056"",""cb_member_071"",""cb_member_074"",""cb_member_020"",""cb_member_006"",""cb_member_025"",""cb_member_055"",""cb_member_012"",""cb_member_041""]",2026-02-10 05:00:00,2026-02-10,false,false,12.0,"[""cb_member_009""]",1
Cb,Di 11:00,"[""cb_member_004"",""cb_member_069"",""cb_member_058"",""cb_member_068"",""cb_member_008""]",2026-02-10 11:00:00,2026-02-17,false,true,12.0,"[""cb_member_010""]",1
Cb,Di 11:00,"[""cb_member_004"",""cb_member_069"",""cb_member_058"",""cb_member_068"",""cb_member_074"",""cb_member_075"",""cb_member_008""]",2026-02-13 11:00:00,2026-02-17,false,true,12.0,"[""cb_member_010""]",1
Cb,Di 11:00,"[""cb_member_004"",""cb_member_069"",""cb_member_058"",""cb_member_068"",""cb_member_074"",""cb_member_075"",""cb_member_042"",""cb_member_077""]",2026-02-14 11:00:00,2026-02-17,false,true,12.0,[],0
Cb,Di 11:00,"[""cb_member_004"",""cb_member_069"",""cb_member_058"",""cb_member_068"",""cb_member_074"",""cb_member_075"",""cb_member_042"",""cb_member_077"",""cb_member_065"",""cb_member_055""]",2026-02-15 11:00:00,2026-02-17,false,true,12.0,"[""cb_member_080""]",1
Cb,Di 11:00,"[""cb_member_004"",""cb_member_069"",""cb_member_058"",""cb_member_068"",""cb_member_074"",""cb_member_075"",""cb_member_042"",""cb_member_077"",""cb_member_065"",""cb_member_055"",""cb_member_024"",""cb_member_070""]",2026-02-16 23:00:00,2026-02-17,false,true,12.0,"[""cb_member_080""]",1
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_037""]",2026-02-17 11:00:00,2026-02-24,false,false,12.0,"[""cb_member_041""]",1
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_018"",""cb_member_065"",""cb_member_037""]",2026-02-18 23:00:00,2026-02-24,false,false,12.0,"[""cb_member_041""]",1
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_018"",""cb_member_065"",""cb_member_064"",""cb_member_037""]",2026-02-20 11:00:00,2026-02-24,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_018"",""cb_member_065"",""cb_member_064"",""cb_member_007""]",2026-02-21 11:00:00,2026-02-24,false,false,12.0,"[""cb_member_073""]",1
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_018"",""cb_member_065"",""cb_member_064"",""cb_member_007"",""cb_member_078"",""cb_member_042""]",2026-02-22 11:00:00,2026-02-24,false,false,12.0,"[""cb_member_073""]",1
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_018"",""cb_member_065"",""cb_member_064"",""cb_member_007"",""cb_member_078"",""cb_member_042"",""cb_member_070""]",2026-02-23 11:00:00,2026-02-24,false,false,12.0,"[""cb_member_073"",""cb_member_017""]",2
Cb,Di 11:00,"[""cb_member_076"",""cb_member_074"",""cb_member_030"",""cb_member_038"",""cb_member_018"",""cb_member_065"",""cb_member_064"",""cb_member_007"",""cb_member_078"",""cb_member_042"",""cb_member_070"",""cb_member_014""]",2026-02-24 05:00:00,2026-02-24,false,false,12.0,"[""cb_member_073"",""cb_member_017"",""cb_member_067""]",3
Cb,Di 11:00,"[""cb_member_011"",""cb_member_038"",""cb_member_006"",""cb_member_019"",""cb_member_057""]",2026-02-24 11:00:00,2026-03-03,false,false,12.0,"[""cb_member_014""]",1
Cb,Di 11:00,"[""cb_member_011"",""cb_member_038"",""cb_member_006"",""cb_member_019"",""cb_member_063"",""cb_member_057""]",2026-02-27 11:00:00,2026-03-03,false,false,12.0,"[""cb_member_014""]",1
Cb,Di 11:00,"[""cb_member_011"",""cb_member_038"",""cb_member_006"",""cb_member_019"",""cb_member_063"",""cb_member_004"",""cb_member_078"",""cb_member_057""]",2026-02-28 11:00:00,2026-03-03,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_011"",""cb_member_038"",""cb_member_006"",""cb_member_019"",""cb_member_063"",""cb_member_004"",""cb_member_078"",""cb_member_024""]",2026-03-01 11:00:00,2026-03-03,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_011"",""cb_member_038"",""cb_member_006"",""cb_member_019"",""cb_member_063"",""cb_member_004"",""cb_member_078"",""cb_member_024"",""cb_member_052"",""cb_member_040""]",2026-03-02 23:00:00,2026-03-03,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_011"",""cb_member_038"",""cb_member_006"",""cb_member_019"",""cb_member_063"",""cb_member_004"",""cb_member_078"",""cb_member_024"",""cb_member_052"",""cb_member_040"",""cb_member_070""]",2026-03-03 05:00:00,2026-03-03,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_037"",""cb_member_018"",""cb_member_068"",""cb_member_046"",""cb_member_033""]",2026-03-03 11:00:00,2026-03-10,false,false,12.0,"[""cb_member_008""]",1
Cb,Di 11:00,"[""cb_member_037"",""cb_member_018"",""cb_member_068"",""cb_member_046"",""cb_member_041"",""cb_member_014"",""cb_member_033""]",2026-03-04 23:00:00,2026-03-10,false,false,12.0,"[""cb_member_008""]",1
Cb,Di 11:00,"[""cb_member_037"",""cb_member_018"",""cb_member_068"",""cb_member_046"",""cb_member_041"",""cb_member_014"",""cb_member_066"",""cb_member_004""]",2026-03-07 11:00:00,2026-03-10,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_037"",""cb_member_018"",""cb_member_068"",""cb_member_046"",""cb_member_041"",""cb_member_014"",""cb_member_066"",""cb_member_004"",""cb_member_048"",""cb_member_039""]",2026-03-09 11:00:00,2026-03-10,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_037"",""cb_member_018"",""cb_member_068"",""cb_member_046"",""cb_member_041"",""cb_member_014"",""cb_member_066"",""cb_member_004"",""cb_member_048"",""cb_member_039"",""cb_member_003"",""cb_member_015""]",2026-03-10 05:00:00,2026-03-10,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_006""]",2026-03-10 11:00:00,2026-03-17,false,false,12.0,"[""cb_member_012""]",1
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_046"",""cb_member_045"",""cb_member_006""]",2026-03-13 11:00:00,2026-03-17,false,false,12.0,"[""cb_member_012""]",1
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_046"",""cb_member_045"",""cb_member_014"",""cb_member_006""]",2026-03-14 11:00:00,2026-03-17,false,false,12.0,[],0
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_046"",""cb_member_045"",""cb_member_014"",""cb_member_054""]",2026-03-15 11:00:00,2026-03-17,false,false,12.0,"[""cb_member_068""]",1
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_046"",""cb_member_045"",""cb_member_014"",""cb_member_054"",""cb_member_034"",""cb_member_002""]",2026-03-16 11:00:00,2026-03-17,false,false,12.0,"[""cb_member_068""]",1
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_046"",""cb_member_045"",""cb_member_014"",""cb_member_054"",""cb_member_034"",""cb_member_002"",""cb_member_080""]",2026-03-16 23:00:00,2026-03-17,false,false,12.0,"[""cb_member_068"",""cb_member_053""]",2
Cb,Di 11:00,"[""cb_member_029"",""cb_member_051"",""cb_member_008"",""cb_member_049"",""cb_member_046"",""cb_member_045"",""cb_member_014"",""cb_member_054"",""cb_member_034"",""cb_member_002"",""cb_member_080"",""cb_member_024""]",2026-03-17 05:00:00,2026-03-17,false,false,12.0,"[""cb_member_068"",""cb_member_053"",""cb_member_016""]",3
Cb,Di 11:00,"[""cb_member_032"",""cb_member_014"",""cb_member_019"",""cb_member_052"",""cb_member_008""]",2026-03-18 23:00:00,2026-03-24,false,false,12.0,"[""cb_member_027""]",1
Cb,Di 11:00,"[""cb_member_032"",""cb_member_014"",""cb_member_019"",""cb_member_052"",""cb_member_004"",""cb_member_008""]",2026-03-20 11:00:00,2026-03-24,false,false,12.0,"[""cb_member_027""]",1
